order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
ORD-100040,17-04-2018,23-04-2018,First Class,CUST-1035,Taylor Smith,Home Office,Houston,TX,12671,West,PROD-72070,Office Supplies,Binders,Binders Item 343,106.46,2,0,14.07
ORD-100041,23-03-2019,31-03-2019,Standard Class,CUST-1392,Parker Garcia,Corporate,Jacksonville,FL,25012,West,PROD-85849,Furniture,Chairs,Chairs Item 14,1301.95,5,0,224.84
ORD-100042,08-02-2020,15-02-2020,Standard Class,CUST-1101,Jordan Jackson,Corporate,Austin,TX,41830,East,PROD-99687,Technology,Copiers,Copiers Item 308,204.59,2,0.1,1.99
ORD-100043,26-03-2018,01-04-2018,Standard Class,CUST-1338,Parker Williams,Consumer,Philadelphia,PA,11658,South,PROD-66822,Furniture,Chairs,Chairs Item 492,6250.26,6,0,1906.95
ORD-100044,30-07-2020,02-08-2020,Second Class,CUST-1375,Rowan Rodriguez,Corporate,Fort Worth,TX,80539,South,PROD-87656,Furniture,Furnishings,Furnishings Item 138,8734.8,6,0.2,1012.1
ORD-100045,27-06-2018,02-07-2018,Standard Class,CUST-1124,Reese Jackson,Corporate,San Antonio,TX,54092,East,PROD-33834,Furniture,Tables,Tables Item 250,6093.28,4,0,3.62
ORD-100046,14-06-2019,20-06-2019,Second Class,CUST-1305,Drew Moore,Consumer,Houston,TX,21221,West,PROD-74038,Technology,Machines,Machines Item 285,2526.55,4,0.1,390.45
ORD-100047,02-10-2020,10-10-2020,Standard Class,CUST-1047,Quinn Davis,Consumer,Houston,TX,50135,Central,PROD-65771,Furniture,Tables,Tables Item 382,3279.42,9,0,422.31
ORD-100048,18-07-2020,23-07-2020,Second Class,CUST-1118,Morgan Miller,Consumer,Jacksonville,FL,80236,West,PROD-73464,Office Supplies,Binders,Binders Item 142,651.77,10,0.3,156.54
ORD-100049,10-12-2020,20-12-2020,Second Class,CUST-1051,Riley Martinez,Consumer,Chicago,IL,49618,East,PROD-45954,Technology,Accessories,Accessories Item 24,2616.95,1,0,834.76
ORD-100050,16-09-2018,24-09-2018,First Class,CUST-1006,Finley Martinez,Consumer,San Diego,CA,54657,West,PROD-72616,Office Supplies,Writing,Writing Item 59,161.52,2,0,55.66
ORD-100051,01-06-2018,11-06-2018,Standard Class,CUST-1027,Casey Jones,Corporate,Phoenix,AZ,21164,West,PROD-64548,Office Supplies,Envelopes,Envelopes Item 311,808.38,10,0.1,162.54
ORD-100052,08-04-2019,17-04-2019,Second Class,CUST-1465,Reese Martinez,Home Office,San Antonio,TX,50026,East,PROD-37235,Technology,Phones,Phones Item 321,3870.6,4,0,577.51
ORD-100053,16-06-2018,19-06-2018,First Class,CUST-1282,Jordan Garcia,Consumer,San Diego,CA,87832,South,PROD-40340,Furniture,Chairs,Chairs Item 148,3972.87,5,0.1,539.76
ORD-100054,18-07-2020,20-07-2020,Standard Class,CUST-1473,Drew Jackson,Corporate,Fort Worth,TX,35928,South,PROD-39466,Office Supplies,Envelopes,Envelopes Item 332,197.21,3,0.2,-27.34
ORD-100055,19-10-2018,21-10-2018,First Class,CUST-1405,Quinn Martin,Corporate,San Jose,CA,47828,South,PROD-49857,Office Supplies,Labels,Labels Item 359,133.11,7,0.2,29.48
ORD-100056,21-10-2020,30-10-2020,Second Class,CUST-1041,Reese Johnson,Home Office,Jacksonville,FL,52247,Central,PROD-40005,Office Supplies,Paper,Paper Item 493,137.5,10,0,32.22
ORD-100057,12-02-2018,17-02-2018,Standard Class,CUST-1390,Jamie Thomas,Consumer,San Diego,CA,46458,West,PROD-93202,Technology,Machines,Machines Item 417,5505.58,8,0.3,881.29
ORD-100058,20-08-2020,26-08-2020,Second Class,CUST-1164,Morgan Garcia,Consumer,Jacksonville,FL,74942,Central,PROD-82102,Technology,Machines,Machines Item 19,12528,8,0,837.29
ORD-100059,01-06-2019,07-06-2019,First Class,CUST-1395,Hayden Taylor,Corporate,New York,NY,96200,South,PROD-34586,Furniture,Chairs,Chairs Item 266,11669.88,6,0,4066.66
ORD-100060,17-10-2020,25-10-2020,Standard Class,CUST-1104,Drew Moore,Consumer,Phoenix,AZ,67424,South,PROD-92578,Office Supplies,Paper,Paper Item 312,346.75,4,0.1,61.64
ORD-100061,29-09-2019,08-10-2019,First Class,CUST-1208,Jordan Davis,Home Office,Fort Worth,TX,24871,South,PROD-75323,Office Supplies,Binders,Binders Item 478,157.45,5,0,-3.28
ORD-100062,14-07-2019,21-07-2019,Standard Class,CUST-1241,Cameron Anderson,Consumer,San Antonio,TX,34983,West,PROD-64387,Office Supplies,Writing,Writing Item 175,269.19,9,0,51.76
ORD-100063,06-01-2018,11-01-2018,Standard Class,CUST-1428,Finley Jackson,Home Office,San Diego,CA,29476,South,PROD-55236,Technology,Machines,Machines Item 171,12295.64,9,0.1,1574.91
ORD-100064,12-02-2020,20-02-2020,Standard Class,CUST-1445,Riley Davis,Consumer,Houston,TX,63841,East,PROD-59968,Furniture,Furnishings,Furnishings Item 198,451.14,3,0,107.07
ORD-100065,17-03-2018,20-03-2018,Standard Class,CUST-1302,Avery Brown,Home Office,San Diego,CA,23069,South,PROD-63736,Office Supplies,Binders,Binders Item 446,76.44,3,0,11.38
ORD-100066,27-06-2019,03-07-2019,Standard Class,CUST-1203,Jordan Hernandez,Home Office,Columbus,OH,79942,South,PROD-80912,Furniture,Furnishings,Furnishings Item 19,3325.5,10,0,734.2
ORD-100067,12-08-2019,16-08-2019,Standard Class,CUST-1222,Morgan Brown,Consumer,Jacksonville,FL,49251,East,PROD-17355,Office Supplies,Writing,Writing Item 151,154.32,6,0,27.64
ORD-100068,26-10-2018,30-10-2018,Standard Class,CUST-1289,Jamie Garcia,Consumer,San Jose,CA,60140,West,PROD-40433,Furniture,Bookcases,Bookcases Item 237,6803.3,5,0,591.61
ORD-100069,20-01-2018,28-01-2018,Standard Class,CUST-1346,Skyler Garcia,Consumer,Philadelphia,PA,87014,Central,PROD-42780,Technology,Machines,Machines Item 234,10950.4,5,0,2987.02
ORD-100070,27-02-2020,06-03-2020,First Class,CUST-1195,Finley Lopez,Consumer,Jacksonville,FL,48696,East,PROD-45976,Technology,Machines,Machines Item 5,8927.92,10,0.2,3112.49
ORD-100071,11-04-2018,21-04-2018,Standard Class,CUST-1426,Quinn Davis,Corporate,Philadelphia,PA,38705,West,PROD-98835,Technology,Copiers,Copiers Item 387,4849.83,3,0,1683.27
ORD-100072,22-03-2018,27-03-2018,Standard Class,CUST-1017,Finley Lopez,Corporate,Los Angeles,CA,48680,Central,PROD-33021,Technology,Machines,Machines Item 103,780.46,3,0.1,94.27
ORD-100073,20-01-2020,29-01-2020,Standard Class,CUST-1139,Jamie Rodriguez,Home Office,San Diego,CA,48684,Central,PROD-19869,Office Supplies,Labels,Labels Item 73,64.9,4,0.2,18.87
ORD-100074,24-03-2020,02-04-2020,Second Class,CUST-1404,Hayden Smith,Consumer,Los Angeles,CA,69609,Central,PROD-86619,Technology,Copiers,Copiers Item 196,849.06,6,0,326.71
ORD-100075,24-04-2019,02-05-2019,First Class,CUST-1452,Skyler Hernandez,Home Office,Houston,TX,94889,East,PROD-49608,Technology,Machines,Machines Item 333,486.01,7,0,138.43
ORD-100076,03-04-2018,04-04-2018,Second Class,CUST-1252,Morgan Brown,Consumer,Dallas,TX,27781,South,PROD-97881,Furniture,Tables,Tables Item 487,9437.22,9,0,2433.77
ORD-100077,13-11-2018,20-11-2018,Standard Class,CUST-1426,Emerson Martin,Consumer,Phoenix,AZ,14288,Central,PROD-68287,Office Supplies,Labels,Labels Item 487,61.09,4,0.2,2.03
ORD-100078,23-07-2018,29-07-2018,Standard Class,CUST-1330,Parker Johnson,Consumer,Houston,TX,26011,South,PROD-94109,Office Supplies,Binders,Binders Item 328,487.97,10,0.3,124.17
ORD-100079,14-04-2018,20-04-2018,First Class,CUST-1064,Finley Miller,Consumer,San Francisco,CA,82641,West,PROD-40539,Technology,Accessories,Accessories Item 169,1160.49,3,0.1,186.48
ORD-100080,06-01-2018,11-01-2018,Standard Class,CUST-1074,Casey Moore,Consumer,Chicago,IL,24408,East,PROD-56955,Office Supplies,Paper,Paper Item 405,141.68,4,0,19.44
ORD-100081,02-02-2018,05-02-2018,Second Class,CUST-1064,Kendall Taylor,Consumer,Los Angeles,CA,72422,South,PROD-69245,Furniture,Chairs,Chairs Item 258,4278.3,4,0.2,1055.6
ORD-100082,30-03-2018,08-04-2018,Second Class,CUST-1329,Alex Johnson,Home Office,Columbus,OH,62640,South,PROD-74260,Technology,Phones,Phones Item 365,19642.56,8,0,6750.49
ORD-100083,15-06-2018,21-06-2018,Standard Class,CUST-1033,Casey Rodriguez,Corporate,San Jose,CA,81874,Central,PROD-69469,Furniture,Tables,Tables Item 259,5216.1,10,0,2347.25
ORD-100084,23-08-2018,01-09-2018,Standard Class,CUST-1110,Kendall Anderson,Home Office,San Antonio,TX,54424,South,PROD-22463,Furniture,Furnishings,Furnishings Item 161,1620.85,7,0,11.66
ORD-100085,07-06-2019,13-06-2019,Same Day,CUST-1351,Emerson Williams,Consumer,Los Angeles,CA,22219,South,PROD-27054,Office Supplies,Writing,Writing Item 285,36.22,1,0,11.69
ORD-100086,07-11-2019,09-11-2019,Second Class,CUST-1447,Kendall Johnson,Home Office,San Jose,CA,50953,Central,PROD-76507,Office Supplies,Envelopes,Envelopes Item 109,197.48,3,0.1,50.18
ORD-100087,05-04-2019,07-04-2019,Second Class,CUST-1284,Parker Brown,Corporate,San Jose,CA,39643,South,PROD-89822,Technology,Phones,Phones Item 476,1353.7,5,0,441.37
ORD-100088,14-07-2019,19-07-2019,Standard Class,CUST-1179,Alex Garcia,Home Office,San Jose,CA,96159,South,PROD-92991,Office Supplies,Binders,Binders Item 498,17.84,1,0,3.7
ORD-100089,22-12-2020,26-12-2020,Second Class,CUST-1232,Avery Garcia,Consumer,Jacksonville,FL,52517,East,PROD-30632,Office Supplies,Binders,Binders Item 387,29,10,0,8.17
ORD-100090,17-06-2018,22-06-2018,Second Class,CUST-1217,Emerson Martin,Consumer,Phoenix,AZ,38255,East,PROD-24534,Furniture,Furnishings,Furnishings Item 146,2478.7,10,0,498.17
ORD-100091,24-09-2019,25-09-2019,First Class,CUST-1306,Taylor Smith,Consumer,Houston,TX,27987,Central,PROD-25726,Furniture,Tables,Tables Item 4,10074.24,8,0.1,342.3
ORD-100092,26-12-2018,29-12-2018,Second Class,CUST-1360,Cameron Taylor,Consumer,Austin,TX,56421,East,PROD-67176,Furniture,Chairs,Chairs Item 10,8456.45,8,0.2,2267.51
ORD-100093,04-10-2019,14-10-2019,Second Class,CUST-1207,Kendall Martinez,Consumer,New York,NY,52568,West,PROD-57428,Technology,Machines,Machines Item 46,4580.1,7,0.1,299.81
ORD-100094,14-05-2019,21-05-2019,Standard Class,CUST-1268,Jordan Gonzalez,Home Office,Jacksonville,FL,54500,West,PROD-20011,Furniture,Bookcases,Bookcases Item 262,1369.06,2,0,372.93
ORD-100095,02-02-2019,08-02-2019,Second Class,CUST-1490,Casey Davis,Consumer,Phoenix,AZ,35856,West,PROD-95918,Technology,Accessories,Accessories Item 39,5356.45,3,0.3,1779.45
ORD-100096,08-10-2020,16-10-2020,Standard Class,CUST-1389,Finley Anderson,Corporate,Fort Worth,TX,83989,Central,PROD-29786,Technology,Copiers,Copiers Item 226,3959.38,2,0,300.45
ORD-100097,13-09-2019,18-09-2019,Standard Class,CUST-1180,Rowan Williams,Consumer,San Diego,CA,14929,East,PROD-20057,Furniture,Tables,Tables Item 331,1534.1,2,0,302.99
ORD-100098,04-11-2020,11-11-2020,Second Class,CUST-1283,Taylor Anderson,Home Office,San Jose,CA,95437,West,PROD-75715,Furniture,Furnishings,Furnishings Item 78,567.14,1,0,161.88
ORD-100099,05-12-2019,07-12-2019,Standard Class,CUST-1088,Taylor Davis,Corporate,San Diego,CA,78690,West,PROD-47079,Furniture,Tables,Tables Item 199,8068.54,7,0.1,1220.36
ORD-100100,18-04-2018,24-04-2018,First Class,CUST-1048,Skyler Gonzalez,Consumer,Jacksonville,FL,96057,West,PROD-86380,Furniture,Chairs,Chairs Item 340,3839.71,3,0.2,1727.87
ORD-100101,28-09-2019,05-10-2019,First Class,CUST-1362,Jordan Martinez,Consumer,Austin,TX,53054,West,PROD-94675,Technology,Phones,Phones Item 344,10413.9,7,0,1991.68
ORD-100102,07-02-2018,13-02-2018,Second Class,CUST-1486,Riley Hernandez,Home Office,San Diego,CA,35166,West,PROD-20114,Office Supplies,Binders,Binders Item 152,42.26,2,0,2.72
ORD-100103,14-12-2020,15-12-2020,Standard Class,CUST-1448,Reese Jones,Consumer,Chicago,IL,31266,West,PROD-67366,Technology,Accessories,Accessories Item 23,647.22,7,0,192.39
ORD-100104,02-05-2019,10-05-2019,Standard Class,CUST-1385,Reese Davis,Consumer,Phoenix,AZ,71474,West,PROD-70513,Furniture,Furnishings,Furnishings Item 394,5889.02,5,0.1,972.3
ORD-100105,26-10-2020,04-11-2020,Second Class,CUST-1082,Riley Martin,Consumer,Phoenix,AZ,16839,South,PROD-77621,Furniture,Chairs,Chairs Item 436,3869.96,2,0,1040.4
ORD-100106,25-11-2018,30-11-2018,Second Class,CUST-1262,Casey Wilson,Consumer,Fort Worth,TX,39102,South,PROD-64381,Furniture,Chairs,Chairs Item 28,13503.42,7,0,1697.44
ORD-100107,28-04-2019,05-05-2019,Same Day,CUST-1191,Cameron Smith,Consumer,Los Angeles,CA,95191,Central,PROD-15020,Office Supplies,Binders,Binders Item 147,286.13,8,0.1,78.18
ORD-100108,12-10-2018,20-10-2018,Second Class,CUST-1002,Jordan Smith,Consumer,Columbus,OH,29597,South,PROD-41147,Office Supplies,Writing,Writing Item 155,170.82,2,0,11.77
ORD-100109,09-05-2020,19-05-2020,Second Class,CUST-1056,Emerson Martin,Consumer,Austin,TX,77551,West,PROD-48177,Technology,Accessories,Accessories Item 220,1679.27,1,0,198.9
ORD-100110,08-05-2019,18-05-2019,Second Class,CUST-1340,Jordan Taylor,Home Office,Los Angeles,CA,78951,East,PROD-15706,Furniture,Furnishings,Furnishings Item 326,9189.95,7,0.3,2349.03
ORD-100111,04-06-2019,05-06-2019,Second Class,CUST-1034,Parker Davis,Corporate,Austin,TX,23587,Central,PROD-56176,Office Supplies,Paper,Paper Item 280,62.21,6,0.1,24.36
ORD-100112,25-12-2018,02-01-2019,Same Day,CUST-1245,Jamie Jones,Consumer,San Francisco,CA,69988,East,PROD-15741,Furniture,Bookcases,Bookcases Item 406,3997.63,4,0.2,1226.84
ORD-100113,09-10-2019,14-10-2019,Standard Class,CUST-1417,Skyler Thomas,Consumer,San Francisco,CA,94790,West,PROD-16265,Furniture,Tables,Tables Item 444,8967,6,0,1669.33
ORD-100114,24-01-2020,31-01-2020,Standard Class,CUST-1380,Reese Gonzalez,Consumer,Chicago,IL,75038,South,PROD-20828,Furniture,Tables,Tables Item 373,9864.26,7,0,640.38
ORD-100115,05-01-2019,14-01-2019,Second Class,CUST-1052,Jordan Hernandez,Corporate,Phoenix,AZ,68447,South,PROD-56077,Office Supplies,Labels,Labels Item 229,27.69,1,0.1,9.58
ORD-100116,24-12-2019,03-01-2020,Same Day,CUST-1140,Taylor Williams,Corporate,San Antonio,TX,57619,West,PROD-89635,Office Supplies,Binders,Binders Item 348,650.56,8,0,140.87
ORD-100117,18-05-2018,22-05-2018,Standard Class,CUST-1187,Parker Gonzalez,Home Office,New York,NY,89310,West,PROD-58623,Technology,Machines,Machines Item 191,19738.51,8,0.1,4162.16
ORD-100118,09-10-2018,18-10-2018,Second Class,CUST-1160,Drew Davis,Home Office,New York,NY,34385,South,PROD-83619,Technology,Machines,Machines Item 61,6947.1,5,0.1,2448.73
ORD-100119,02-07-2020,06-07-2020,Same Day,CUST-1146,Emerson Miller,Consumer,Columbus,OH,19706,South,PROD-21506,Office Supplies,Labels,Labels Item 415,354.78,6,0.1,64.17
ORD-100120,13-05-2018,22-05-2018,Standard Class,CUST-1456,Quinn Garcia,Corporate,Fort Worth,TX,93584,West,PROD-25907,Furniture,Bookcases,Bookcases Item 103,4256.52,3,0,884.83
ORD-100121,08-10-2020,09-10-2020,Second Class,CUST-1293,Parker Anderson,Corporate,Dallas,TX,27009,East,PROD-62187,Office Supplies,Writing,Writing Item 368,280.96,8,0,56.51
ORD-100122,18-04-2020,28-04-2020,First Class,CUST-1497,Avery Williams,Consumer,Austin,TX,77811,Central,PROD-93859,Office Supplies,Envelopes,Envelopes Item 301,104.79,3,0.1,20.94
ORD-100123,22-09-2018,29-09-2018,Standard Class,CUST-1444,Taylor Brown,Consumer,Phoenix,AZ,31581,West,PROD-55353,Furniture,Bookcases,Bookcases Item 486,864.65,9,0.2,66.83
ORD-100124,11-06-2018,16-06-2018,First Class,CUST-1489,Skyler Rodriguez,Consumer,Phoenix,AZ,90534,East,PROD-87569,Technology,Accessories,Accessories Item 483,14074.8,10,0,-487.26
ORD-100125,23-11-2019,03-12-2019,First Class,CUST-1442,Alex Williams,Consumer,Austin,TX,85598,Central,PROD-84991,Technology,Accessories,Accessories Item 214,17806.8,10,0,3968.72
ORD-100126,16-10-2020,25-10-2020,Second Class,CUST-1489,Quinn Thomas,Consumer,San Francisco,CA,99783,South,PROD-19564,Furniture,Furnishings,Furnishings Item 353,109.48,1,0,7.97
ORD-100127,01-05-2020,09-05-2020,Second Class,CUST-1174,Reese Jones,Consumer,Jacksonville,FL,51853,Central,PROD-58567,Furniture,Bookcases,Bookcases Item 264,9615.33,9,0,1344.43
ORD-100128,11-05-2019,19-05-2019,First Class,CUST-1230,Cameron Jones,Consumer,Phoenix,AZ,60351,South,PROD-52917,Office Supplies,Binders,Binders Item 479,697.14,10,0.1,171.46
ORD-100129,24-01-2019,27-01-2019,Second Class,CUST-1263,Reese Thomas,Home Office,San Diego,CA,13037,East,PROD-41552,Furniture,Furnishings,Furnishings Item 111,2164.3,10,0,59.51
ORD-100130,14-04-2018,19-04-2018,Second Class,CUST-1451,Emerson Martinez,Consumer,Columbus,OH,24089,South,PROD-57943,Office Supplies,Writing,Writing Item 392,49.42,7,0,22.24
ORD-100131,31-03-2020,01-04-2020,Standard Class,CUST-1099,Parker Moore,Consumer,San Antonio,TX,76093,South,PROD-91689,Technology,Copiers,Copiers Item 349,19195.4,10,0,7701.38
ORD-100132,18-07-2018,25-07-2018,Second Class,CUST-1173,Skyler Lopez,Corporate,Houston,TX,88966,South,PROD-15938,Technology,Phones,Phones Item 20,5896.12,3,0.1,1072.02
ORD-100133,28-08-2020,06-09-2020,Second Class,CUST-1310,Rowan Jones,Consumer,San Jose,CA,51750,West,PROD-87820,Furniture,Tables,Tables Item 173,5506.14,9,0.1,1283.2
ORD-100134,26-12-2020,03-01-2021,Standard Class,CUST-1153,Emerson Smith,Consumer,Austin,TX,24366,South,PROD-92478,Technology,Copiers,Copiers Item 14,23896.5,10,0,3026.73
ORD-100135,12-04-2019,13-04-2019,Standard Class,CUST-1087,Rowan Martin,Corporate,San Antonio,TX,29369,West,PROD-24404,Office Supplies,Envelopes,Envelopes Item 98,9.69,1,0,-0.2
ORD-100136,07-05-2020,10-05-2020,Second Class,CUST-1104,Kendall Taylor,Corporate,Fort Worth,TX,71814,East,PROD-77984,Technology,Accessories,Accessories Item 107,859.95,9,0,75.14
ORD-100137,06-09-2020,15-09-2020,Second Class,CUST-1489,Jamie Anderson,Home Office,Philadelphia,PA,81601,Central,PROD-89963,Technology,Copiers,Copiers Item 248,1501.98,4,0.3,569.79
ORD-100138,26-07-2019,04-08-2019,Second Class,CUST-1482,Quinn Martinez,Corporate,Jacksonville,FL,74094,Central,PROD-83464,Furniture,Tables,Tables Item 479,1775.25,5,0,387.24
